title,url
Launching a Linux Virtual Machine,https://youtu.be/PHrN7yp1AJw
Command line environment,https://youtu.be/qrAnlpcMyYc
Simple Commands in Linux - 1,https://youtu.be/DIpBEmRDHnw
Simple Commands in Linux - 2,https://youtu.be/lpe6AKk5GIk
Command line editors - Part 01,https://youtu.be/NIIZ1cgrO7g
Command line editors - Part 02,https://youtu.be/HLhza4vZTsI
Command line editors - Part 03,https://youtu.be/w25zlMXshHw
Networking Commands and SSH,https://youtu.be/SxDIXtxR33c
Combining commands and files,https://youtu.be/Lcx9UsS7y8Y
Redirections,https://youtu.be/BBh69kH_G_Y
Software Management - Part 01,https://youtu.be/OAEVYgH1IMM
Software Management - Part 02,https://youtu.be/3saraSGT1i0
Linux process management,https://youtu.be/2aThmDRvSWU
Pattern Matching - Part 01,https://youtu.be/1y85iTaqq8Y
Pattern Matching - Part 02,https://youtu.be/XQUJPRc-7zA
$hell variables,https://youtu.be/pPRge8Yxbso
Shell Variables - Part 1,https://youtu.be/QX5XElFRpck
Shell Variables - Part 2,https://youtu.be/R9vnc8AdVUo
Some Command line Utilities,https://youtu.be/fNf74ycgD9w
Overview of Shell Scripts,https://youtu.be/YAddHeVpG7I
Bash Scripts - Part 01,https://youtu.be/_WdPclVGNNc
Bash scripts - Part 2A,https://youtu.be/8YmNovNo6NE
Bash scripts - Part 2B,https://youtu.be/n56JIC15DBo
Bash scripts - Part 2C,https://youtu.be/kjMhi4gI0po
Automating Scripts,https://youtu.be/kWid87j6qIE
Stream editor sed,https://youtu.be/uCJjZ3cbaAw
AWK Programming Part 1,https://youtu.be/k3q-9ntZI4s
AWK Programming Part 2,https://youtu.be/g9_ij64u8eQ
Version Control - Part 01,https://youtu.be/tzYx6DKtvGw
Version Control - Part 02,https://youtu.be/B9XVOO9ERis
Knowing your Hardware,https://youtu.be/pbb5YQQhqXU
Prompt String,https://youtu.be/UBjENhxwpcU
Managing Storage,https://youtu.be/BvAtNUX7da4
